24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:ee8ced9a-fb3c-40b0-aa90-b3497d89f690. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:6895df55-9740-45ed-8bb6-aff0f9a35588. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:27557419-447a-4dbf-ab0a-9c3192d94fd9. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:c5726fe4-a15b-4e07-b9bb-857a507d9a0b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:46c804b6-1958-41e5-bd6c-ef664ef26460. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:0dc6ca5a-405a-4398-8437-0346609d2d79. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:3ccb7f6d-fabc-41a9-9178-2c17e0326380. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:91c1fc4f-9067-43b5-ab71-21f10e4df31b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a3f28b1a-ab27-4614-922a-863996922d9e. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:70d396ab-18bd-4e0a-95e2-e40f613f0d56. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f3f0a9b0-1eef-474e-af4b-1abe0321309c. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:3ddf7630-ae9f-494d-862c-b5cba3edaac1. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e14ac9cc-adaa-47fe-bfdb-70657ab0bf86. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:271e2aef-af34-4494-aed0-30000aa15a85. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:5dd441a8-ebb9-42e2-b14b-21b092ed6779. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:50dd506b-b5ec-4292-add3-bdb0747f321f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f5fe3b04-d1be-4d67-b0c0-158ba590d147. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:963f21a8-eeb4-404a-92e5-9b5208fad41b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:60712a53-e954-471a-84d8-7ef052f60730. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:8e84a43c-bda5-4cec-8997-3f4de292e8f7. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:fbd07465-9ae1-4ce9-b322-b27d413beb50. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:b679f07a-ded3-4ac1-a4fe-2f65610ce45f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:0396725d-42ad-4f24-bb33-97e8fa1b06cf. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:15fb14b7-92e1-4d61-a7ba-f9d067b74eba. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:117a920c-5fee-41e5-b6ce-8cf532f290ed. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:09943346-6251-4cc0-aa7a-0408fe91ecd3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d4cc7aab-9599-4baf-9c9d-77db00e5a735. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:0733f596-1d0d-421e-9ae1-02d667375c14. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:01be4ace-bc89-4bce-9b61-114a4e7e1847. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:88d2b551-533f-4882-93ac-80bc4745a31f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a3326ca2-8ee3-4fae-b2cf-9055cc780dd5. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:57e4f5ae-1931-4da9-aa86-c74e2bc54e13. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:343d89e2-bd4a-4923-b359-72547d9f7ed5. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:73e5521a-623b-464e-8f8c-6751d9d8181b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:543e440a-7770-4f94-b082-a6cc8682ee93. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:61c5519b-a719-4df0-85a8-329f9554715e. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:40b7ab7d-f1fb-4116-97bf-4b4f3a06b55a. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:fdca3323-b52d-4d39-8e8f-a6791d0147a3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:16b99b1c-e95f-4d70-a103-922591a67865. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:19eaa31a-ecb7-44ed-937b-de2ecb7c9b03. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:49660692-70fe-4840-a235-cfded9affe49. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:4f722fd4-649f-4b6d-b883-6c019bedddc0. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d6ec8073-e6b1-480c-8bc8-3d47ca3423fd. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:c3612daa-83fa-439e-bd8b-0d0acab50fbb. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a814b4d3-f829-4202-b120-0b37f8624d09. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:1d4c933a-0f06-4067-9a6b-5b82780dfb59. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:147a91aa-4189-40a5-bca5-f5f58d1e17b4. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f293fdcb-4369-4585-a316-0b4e173bae60. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:144f30f3-1771-43b2-a532-a29354e84345. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:944a9e77-1e2b-4120-bf9e-2a875b9e5c29. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:519e96cb-c737-4719-9cd9-d8a60d4c7775. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e1c9d80c-49e5-4d35-a01c-2e38cc7cdcbf. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:aa684d86-e89f-448a-a58b-d9217760c2ef. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:184a0d3e-5260-429d-81cd-c6b266367ea2. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:db6f74b9-cceb-40fb-94a8-f9f544276682. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:275eb408-02e9-46c8-8308-75e0c7a04c83. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:9c3d240e-feef-4b59-a0e4-0bc3a4243e54. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a92d0509-19c9-4e60-8629-1903becd4bc2. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:18260b66-52b3-49d0-9790-757c01f802c4. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e7b1c2c0-363a-41f0-b632-820c41924b15. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:6c44da98-0446-4e1c-8aeb-77a0b2dbaa70. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:37021260-cdf2-441a-be1b-40ae5b620e79. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:51df537b-6029-4601-a58e-eb76dbd0d5db. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:79d5dfc5-15be-4b0e-a254-aec7bb4a93db. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e6e71f93-e687-42eb-93d6-6ca1ea0424df. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:ad0b3707-2bab-47c0-b1d1-b5742edaadcf. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:aa8e4be9-98c8-4e18-b5a0-2bdd53dda119. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:374bef71-5c3c-47fb-8108-31dad040caaa. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:8b532462-e82b-4553-9a52-28746e44b4a9. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:807980a6-dd3a-488c-b29a-dcecf8ccaf28. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:7619aae9-e30f-4c4b-b6bf-bfd14a0e4ccd. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d55bbc0a-1ec4-463a-92a1-33547a25c5d5. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:ec9f0605-c555-4611-9283-9895776cd8eb. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f357b1ad-fc82-4de5-b554-91f2ae395157. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:81aaca30-4bd0-4268-a050-d5c3ec3ac9e0. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:4d78fbff-5af2-481e-b945-46ad54acfe3b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:b9988302-ffc2-4a24-b689-b9e5d2dd67f4. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d1b2c95d-e1cb-4513-96f0-70b5ff978555. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:195cca9b-ad6d-45a7-9648-07daac11efac. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f03d1fb0-3f8a-47b6-8fe0-5f6bbfe627d3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:21ba707a-8b1f-436e-8832-7cc564b7877c. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:b3211b8e-549c-47d3-8a2e-334139eb33af. OK
